tab,entity_id,name,type,website,primary_contact_role,linkedin,status,last_touch,owner,notes
CPD,G.cpd.cipfa,Chartered Institute of Public Finance & Accountancy (CIPFA),CPD — accountancy chartered body,https://www.cipfa.org/,Head of CPD,–,–,–,–,"Sector G. Public-sector finance specialism."
CPD,G.cpd.sra,Solicitors Regulation Authority (SRA),CPD — legal regulator,https://www.sra.org.uk/,Director of Education,–,–,–,–,"Sector G. SQE is also Sector D one-shot exam (overlap)."
CPD,G.cpd.bsb,Bar Standards Board (BSB),CPD — legal regulator,https://www.barstandardsboard.org.uk/,Director of Education,–,–,–,–,"Sector G. Barrister training + CPD."
CPD,G.cpd.riba,Royal Institute of British Architects (RIBA),CPD — architecture chartered body,https://www.architecture.com/,Head of Education,–,–,–,–,"Sector G."
CPD,G.cpd.arb,Architects Registration Board (ARB),CPD — architecture regulator,https://arb.org.uk/,Director of Education,–,–,–,–,"Sector G."
CPD,G.cpd.iet,Institution of Engineering and Technology (IET),CPD — engineering chartered body,https://www.theiet.org/,Head of CPD,–,–,–,–,"Sector G. ~150 k members."
CPD,G.cpd.ice,Institution of Civil Engineers (ICE),CPD — engineering chartered body,https://www.ice.org.uk/,Head of CPD,–,–,–,–,"Sector G."
CPD,G.cpd.imeche,Institution of Mechanical Engineers (IMechE),CPD — engineering chartered body,https://www.imeche.org/,Head of CPD,–,–,–,–,"Sector G."
CPD,G.cpd.icheme,Institution of Chemical Engineers (IChemE),CPD — engineering chartered body,https://www.icheme.org/,Head of CPD,–,–,–,–,"Sector G."
CPD,G.cpd.cipd,Chartered Institute of Personnel and Development (CIPD),CPD — HR chartered body,https://www.cipd.co.uk/,Head of L&D Products,–,–,–,–,"Sector G. ~150 k members. Highest leverage for L&D content."
CPD,G.cpd.cim,Chartered Institute of Marketing (CIM),CPD — marketing chartered body,https://www.cim.co.uk/,Head of Education,–,–,–,–,"Sector G."
CPD,G.cpd.rics,Royal Institution of Chartered Surveyors (RICS),CPD — surveying chartered body,https://www.rics.org/,Head of CPD,–,–,–,–,"Sector G."
CPD,G.cpd.iosh,Institution of Occupational Safety and Health (IOSH),CPD — safety chartered body,https://www.iosh.com/,Head of CPD,–,–,–,–,"Sector G. Bridges to NEBOSH (Sector G safety wedge — D2 §10)."
CPD,G.cpd.nebosh,National Examination Board in Occupational Safety and Health (NEBOSH),Qualification + CPD — safety,https://www.nebosh.org.uk/,Director of Qualifications,–,–,–,–,"Sector G safety wedge target (D2 §10)."
CPD,G.cpd.bps,British Psychological Society (BPS),CPD — psychology chartered body,https://www.bps.org.uk/,Head of CPD,–,–,–,–,"Sector G."
CPD,G.cpd.rcn,Royal College of Nursing (RCN),CPD — nursing professional body,https://www.rcn.org.uk/,Head of Education,–,–,–,–,"Sector G. Cross-listed with Sector B clinical practice."
CPD,G.cpd.rcp,Royal College of Physicians (RCP),CPD — medical royal college,https://www.rcplondon.ac.uk/,Director of Education,–,–,–,–,"Sector G."
CPD,G.cpd.rcgp,Royal College of General Practitioners (RCGP),CPD — medical royal college,https://www.rcgp.org.uk/,Director of Education,–,–,–,–,"Sector G."
CPD,G.cpd.rcs,Royal College of Surgeons of England (RCS),CPD — medical royal college,https://www.rcseng.ac.uk/,Director of Education,–,–,–,–,"Sector G."
CPD,G.cpd.tail_10,Tail (~10 further bodies),CPD — long-tail,–,–,–,–,–,–,"~10 further UK CPD-mandated bodies to identify during verification window. Includes smaller royal colleges + niche chartered bodies."
NHSTrusts,B.trust.barts,Barts Health NHS Trust,NHS Trust — teaching + overseas-recruiting,https://www.bartshealth.nhs.uk/,Director of Workforce / Head of International Recruitment,–,Phase-2,–,–,"D8 §3.4 named lead. London teaching trust; high overseas-recruitment volume."
NHSTrusts,B.trust.imperial,Imperial College Healthcare NHS Trust,NHS Trust — teaching + overseas-recruiting,https://www.imperial.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"D8 §3.4 named lead. London teaching trust."
NHSTrusts,B.trust.manchester,Manchester University NHS Foundation Trust,NHS Trust — teaching + overseas-recruiting,https://mft.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"D8 §3.4 named lead. Largest acute trust in UK by activity."
NHSTrusts,B.trust.gstt,Guy's and St Thomas' NHS Foundation Trust,NHS Trust — teaching,https://www.guysandstthomas.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"London teaching trust; high overseas activity."
NHSTrusts,B.trust.kch,King's College Hospital NHS Foundation Trust,NHS Trust — teaching,https://www.kch.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"London teaching trust."
NHSTrusts,B.trust.uclh,University College London Hospitals NHS Foundation Trust,NHS Trust — teaching,https://www.uclh.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"London teaching trust."
NHSTrusts,B.trust.rfl,Royal Free London NHS Foundation Trust,NHS Trust — teaching,https://www.royalfree.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"London teaching trust."
NHSTrusts,B.trust.cuh,Cambridge University Hospitals NHS Foundation Trust,NHS Trust — teaching,https://www.cuh.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"East of England teaching trust."
NHSTrusts,B.trust.ouh,Oxford University Hospitals NHS Foundation Trust,NHS Trust — teaching,https://www.ouh.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"South-Central teaching trust."
NHSTrusts,B.trust.sth,Sheffield Teaching Hospitals NHS Foundation Trust,NHS Trust — teaching,https://www.sth.nhs.uk/,Director of Workforce,–,Phase-2,–,–,"Yorkshire teaching trust."
NHSTrusts,B.trust.tail_207,Tail (~207 remaining Trusts),NHS Trust — long-tail,–,–,–,–,–,–,"D8 §3.4 + D2 §6.4: 217 Trusts total. The remaining ~207 to be ranked by overseas-nurse activity using NHSE workforce data during Phase-2 prep."
